SMILES,tpsa,tpsa_bounds,logp,logp_bounds,molweight,molweight_bounds,all_bounds
CC(C)NCC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC(=O)N1Cc1ccc2c(N)ncnc2c1,121.52,False,3.4798,True,558.1274584,False,False
O=C1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1Cc1nc(C(=O)N2CCCC2)cs1,90.89,False,3.2803,True,524.0413458,False,False
CC(C)(C)OC(=O)N1CCC(NS(=O)(=O)CCNC(=O)c2ccc(Cl)s2)CC1,104.81,False,2.4502,True,451.1002406,False,False
COc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)cc1,75.6,False,3.8912,True,448.2474409,False,False
N=C(N)c1ccc(N)c(CN2CCC(NS(=O)(=O)c3ccc(-c4cccs4)s3)C2=O)c1,142.37,False,2.42227,True,475.0806525,False,False
CC(C)N1CCC(NC(=O)c2cc(C(=O)NS(C)(=O)=O)nn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,139.43,False,2.5933,True,554.1172876,False,False
COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)nc3c(C(=O)O)cccc32)c1,96.69,False,3.394,True,450.2267054,False,False
O=C(CCNC(=O)c1ccc(Cl)s1)Nc1ccc(NCCOCCO)cc1CO,119.92,False,2.0732,True,441.1125195,False,False
CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c3cccc(-c4noc(=O)[nH]4)c23)CC1,135.08,False,4.4004,False,567.145551,False,False
CC(C)N1CCC(NC(=O)c2nc3c(OCCO)cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,121.61,False,2.6971,True,514.2095312,False,False
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)NCCO)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,125.52,False,3.7792,True,570.1816022,False,False
