SMILES,Rank,MPO_Score,Quality_Score,SA_Score
C=Cc1nnc(-c2cc(N(C)c3cn4nc(CCOC(=O)C5CN(C#N)C5)ccc4n3)no2)s1,1,1.0,0.4850144256715901,3.93696348734768
O=C1CN(S(=O)(=O)NN2CCc3ccccc32)CCN1Nc1ncnc2ccc(N3CCC3)cc12,2,1.0,0.463711977712621,3.1681609782501052
CCc1nccc2ccc(C3(F)CCN(CCCCNC(=O)c4ccc(-c5ccncc5N)[nH]4)C3)cc12,3,1.0,0.5389879973247115,3.6570324382565254
CC(C)n1c(CC(O)COC2CCC(N3CCC3)CC2)cc2c(Oc3ccc(O[11CH3])nn3)cccc21,4,1.0,0.4655469699851611,3.489909470897971
CCCN(c1c(C(F)F)n[nH]c1SC)S(=O)(=O)CC(O)C(=O)c1cnn(C2OCCO2)c1,5,1.0,0.4341166997087138,4.568781771357254
O=c1ccc(-c2cc(-c3ccc(-n4cccc4-c4nccc5cc(C6OCCO6)ccc45)o3)c[nH]2)c[nH]1,6,1.0,0.4340720080012375,3.4648882732910256
OC(CCc1noc2cc(CCC(O)N3CCCN(c4ccncc4)CC3)ccc12)c1ccc(Cl)s1,7,1.0,0.4369584752777464,3.6992203852289878
CN(c1ccc2cc(Cl)ccc2c1)S(=O)(=O)N1CCNC(C(=O)C2CCN(N3CCC3)CC2)C1,8,1.0,0.3904210078303408,3.541854836419299
CC(C(=O)C1(c2cccc3c(O)cnn23)CCN(N2CCSC2)CC1)c1nnc(-c2ccncn2)s1,9,1.0,0.4911865899965418,4.335012268294749
CN(C1CC2CCC(C1)N2C(=O)CCCCCC1CN(c2ncccn2)C1)S(=O)(=O)C(=O)OCCO,10,1.0,0.4788777589462905,4.684411703645093
CC(C)N1CC(C(=O)c2ccc(-n3cccn3)c(CC(=O)Nc3ncc(-c4ccsc4)cn3)c2)C1,11,1.0,0.3990818659562723,2.922153908943173
O=C(NCC=Cc1cccn1-c1ccc(-c2cncn2C(=O)C[O-])nn1)c1cc(-c2cnnc(C3CC3)n2)on1,12,1.0,0.3968744689355821,3.8763834114125526
COC(=O)C1(C=CCNC(=O)C2CC2)CCN(C(=O)CN2CC=C(c3ccccc3F)CC2)C1,13,1.0,0.4384791505562539,3.5582711825731437
C=Cc1nc2c(C(=O)NN3CCNCC3OC(F)(F)F)cccc2n1Sc1cnc(NCCO)nc1,14,1.0,0.4265821305674139,4.2948185514233845
CNC(=O)C1(C2CN(SC)CCO2)CCN(c2ccc(N3CC(c4ccc(N(C)C)s4)C3)[nH]2)CC1,15,1.0,0.4772468013905707,4.592603147694701
CCCN(C(=O)NN1CCC(C(=O)CC)(c2ccc(OCC)c3cccnc23)C1)c1cnc(OC)nn1,16,1.0,0.5031579255490911,3.94055627927532
O=C(NC1=CCN(c2ccncn2)CC1)c1ccc(-c2cccs2)n1Cc1cc(-c2cc(S)no2)on1,17,1.0,0.4334524442798442,3.5798670928201206
CC(c1nnc(C(F)F)s1)S(=O)(=O)NC1CCN(CCCc2cc3ccc[nH]c-3n2)C1=O,18,1.0,0.4558750535320284,4.158791172007778
C=Cc1c[nH]c2ccc(S(=O)(=O)C3CC4CCC(C3)N4CC(=O)C3CN(c4ccccc4)C3)cc12,19,1.0,0.4205305873513106,4.434216922013007
N#Cc1cnn2ccc(OCCN3CCN(S(=O)(=O)c4cccc5c4OCCO5)CC3=O)cc12,20,1.0,0.4635507601036747,3.038893180335103
Cc1cn(N(C)N2CCC(NC(=O)Nc3ccnc4cc(-c5cc6cnccc6s5)ccc34)C2)nn1,21,1.0,0.4928297019208464,3.7938175430200234
CCC(=O)Oc1cc(N2CC(N(C)C(=O)c3cccc(C4CCCN4c4ccncc4)c3)C2)cs1,22,1.0,0.4912955440055682,3.498243902939455
CN(c1cc2ccccc2s1)S(=O)(=O)N1CCN(CNCc2n[nH]c3ccc(CCO)cc23)C(=O)C1,23,1.0,0.4501702620809397,3.321313196095117
CC(=O)OC(C)OC(=O)S(=O)(=O)C1CN(C2CCCCN2N2CC=C(c3ncccn3)CC2)C1,24,1.0,0.5234763587230213,4.445226068593562
CCc1cccc2c(NCN3CCN(c4nnc(C(=O)NCOCC(F)(F)F)s4)C3=O)cnn12,25,1.0,0.551700274318873,3.4827291693460936
CCCN(Cc1cc(C2CCOC2)on1)S(=O)(=O)NN1CCC(CCOc2c[nH]c3ncccc23)C1=O,26,1.0,0.3883070165415048,4.265996180126577
C=Cc1cnn2c(N3CCC(C(=O)c4cc(N5CCOC(NC)C5)no4)(C(F)F)CC3)cccc12,27,1.0,0.5188322010233213,4.356947749093302
CC(C)CN(C(=O)c1nccc2ccc(-c3cccnc3)cc12)N1CCN(C2CN(S(N)(=O)=O)C2)C1=O,28,1.0,0.4625904138966068,3.292294181363536
O=C(c1ccc(-c2nccc([O-])n2)o1)N1CCC(c2ccc3ccnc(C4CC4)c3c2)(C2OCCO2)C1,29,1.0,0.4715582852003231,3.985597451436491
O=C(OCn1c(OCCCF)cc2ncccc21)C1CCN(S(=O)(=O)c2ccc3ccnn3c2)C1=O,30,1.0,0.4923079007917205,3.9397521893445733
