SMILES,molweight,molweight_bounds,tpsa,tpsa_bounds,logp,logp_bounds,all_bounds
FC(F)(F)c1nc2c(-[n+]3cc[n+](Cc4ccccc4)cc3)cccc2[nH]1,376.1609344,True,32.34,False,4.72782,False,False
Clc1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,360.1160041,True,6.48,False,4.9191,False,False
COc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,356.1888634,True,32.34,False,4.3579,False,False
Clc1ccc2[nH]ccc2c1N1CCN(Cc2ccccc2)CC1,315.138992,False,12.47,False,4.1736,False,False
Oc1ccc2c(c1)CCN2,363.2310625,True,26.79,False,3.09042,True,False
COc1ccccc1N1CCN(Cc2cn3cc(I)ccc3n2)CC1,321.1841124,True,41.15,True,3.3965,True,True
COc1cc(Cl)ccc1CN1CCN(CC(=O)N2c3ccccc3CC2C)CC1,465.27399,False,64.88,False,3.9966,True,False
CC1SC2(CCCC2)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,292.1687966,False,35.16,False,2.8851,True,False
CCOc1cc(Cl)ccc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,274.1139842,False,26.71,False,2.7759,True,False
COc1cc(Cl)cc(OCC2CN(Cc3ccccc3)CCO2)c1,443.1279657,False,56.8,True,4.49398,False,False
Cc1ccc(OCCNCCCOc2cccc(C)c2)cc1,356.1888634,True,32.34,False,4.3579,False,False
COc1ccccc1OCCNCCc1ccc(O)c(O)c1,340.0800972,True,16.13,False,5.239,False,False
C=CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,395.105499,True,30.93,False,4.6719,False,False
Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,337.251798,True,31.92,False,4.8795,False,False
COc1ccccc1N1CCN(Cc2cn3cc(C)cc(C#N)c3n2)CC1,329.1891977,True,31.92,False,4.4509,False,False
CCC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(C)cc2)CC1,401.1061677,True,35.58,False,3.5267,True,False
COc1cccc(C(=O)NCCN2CCN(c3ccccc3Cl)CC2)c1,392.1170667,True,40.96,True,3.9512,True,True
COc1ccc(OCCNCCCOc2ccccc2)cc1,391.155036,True,40.16,True,3.645,True,True
CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccccc2Cl)CC1,339.194677,True,44.81,True,2.2472,True,True
COc1ccccc1C=CC1CN(Cc2ccc(Cl)cc2)CCO1,339.194677,True,44.81,True,2.76432,True,True
CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(F)cc2)CC1,316.1939488,False,8.17,False,4.8569,False,False
Cc1ccc(C)c(C(=O)CCCN2CCC(c3ccc(Cl)cc3)CC2)c1,373.1557047,True,44.81,True,2.9006,True,True
O=c1sc2ccccc2n1CCN1CCN(Cc2ccc(Cl)cc2)CC1,357.1356379,True,45.9,True,2.7135,True,True
COC(=O)C1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(C)cc2)CC1,409.1936315,True,52.88,True,2.9983,True,True
Cc1ccc(OCCNCCCOc2ccccc2)cc1C,390.149891,True,32.34,False,5.0113,False,False
N#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,305.1182566,False,30.49,False,3.7775,True,False
COc1ccccc1C1CCN(CNC(=O)c2cccc(C)c2)CC1,423.2092815,False,52.88,True,3.3884,True,False
Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3C)CC2)cc1F,319.1796957,False,37.19,False,2.5895,True,False
COc1ccccc1N1CCN(Cc2cn3cc(C)cc(-c4ccccc4)c3n2)CC1,387.1713548,True,44.81,True,3.2907,True,True
COc1ccccc1N1CCN(Cc2cn3cc(C)cc(-n4cccn4)c3n2)CC1,395.105499,True,30.93,False,4.6719,False,False
Oc1cc(Cl)ccc1NCC1CN(Cc2ccc(Cl)cc2)CCO1,303.1634572,False,30.49,False,3.57162,True,False
O=C1Cc2c(cccc2OCCNCc2ccccc2)N1,407.2208918,True,58.81,True,4.4017,False,False
COc1ccccc1N1CCN(CNC(=O)c2cccc(C)c2)CC1,263.1422475,False,31.92,False,3.1212,True,False
CSc1ccccc1N1CCN(CCCNC(=O)c2cnn3ccccc23)CC1,375.1401349,True,40.54,True,4.4256,False,False
C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,342.1855896,True,41.49,True,2.5953,True,True
O=C(NC1CCN(Cc2ccccc2)C1)c1cccc(-c2ccsc2)c1,322.1793613,True,44.39,True,2.8937,True,True
Nc1nc(-c2ccc(Cl)cc2)cc(C2CCN(Cc3ccccc3)CC2)n1,340.0800972,True,16.13,False,5.239,False,False
COc1ccccc1N1CCN(Cc2cn3cc(C)cc(Br)c3n2)CC1,461.1385304,False,65.6,False,4.4304,False,False
CCOc1ccc(Cl)cc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,337.1920902,True,35.58,False,3.0144,True,False
C1=C(c2nc3ccccc3s2)CCN(Cc2ccccc2)C1,319.2048478,False,31.92,False,4.3593,False,False
CCOCCn1cc(CCCOc2ccc(CN3CCN(c4ccccc4OC)CC3)cc2OC)nn1,285.172879,False,30.49,False,3.43252,True,False
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,301.1677936,False,39.72,False,3.1327,True,False
COc1ccc(N)cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,315.1735477,False,21.06,False,4.1616,False,False
Cc1ccc(C)c(N2CCN(Cc3nc4ccccc4[nH]3)CC2)c1,395.0382268,True,41.49,True,3.4802,True,True
Cc1ccc(OCCCNCCOc2ccccc2)cc1,367.2059907,True,26.79,False,2.9211,True,False
CCc1c(C2CCN(Cc3ccccc3)CC2)n[nH]c1-c1ccc(Cl)cc1,366.2107417,True,23.55,False,4.4056,False,False
COc1ccccc1N1CCN(Cc2cc(CN3CCOCC3)c3cccccc2-3)CC1,422.2384734,False,72.6,False,1.7062,False,False
Fc1ccc(OCCCNCCOc2ccc(Cl)cc2)cc1,383.1764401,True,26.79,False,3.4354,True,False
O=C(NC1CCN(Cc2ccc(F)cc2)C1)c1ccc(-c2cccs2)cc1,313.1677936,False,30.93,False,2.975,True,False
Fc1ccc2c(CN3CCOC(COc4cccc(Cl)n4)C3)c[nH]c2c1,352.1609344,True,15.71,False,4.6222,False,False
CC(C)c1ccc(Cl)cc1CN1CCN(CC(=O)N2c3ccccc3CC2C)CC1,398.1693511,True,23.78,False,3.8551,True,False
